?,date,facebookUrl,likesCount,postTitle,text
1,2023-06-02T10:10:56.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,Zalguur bna 5 k
2,2023-06-02T07:26:53.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,Bgaa shuu 60k
3,2023-06-02T03:59:54.000Z,https://www.facebook.com/groups/univisionusers/posts/3359584980974011/,0,tuhuurumj hyamd awaarai,Ymr tuhuurumj ve
4,2023-06-02T03:55:50.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,Gandangiin ard bdag ardiin horshoond bdin bnle
5,2023-06-02T03:20:53.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,
6,2023-06-02T03:01:25.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,???2
7,2023-06-02T03:00:40.000Z,https://www.facebook.com/groups/univisionusers/posts/3359524844313358/,0,iim univisionii zalguur zarah hun bnuu,Ij buren baigaa shuu
8,2023-06-02T02:52:04.000Z,https://www.facebook.com/groups/univisionusers/posts/3359522830980226/,1,Univisionii tsagaan internetiig n haana zaswarluulah we? Pls,10 horoolol nomingiin hajuu bairand uni zasvariin tuv bga
9,2023-06-01T15:55:22.000Z,https://www.facebook.com/groups/univisionusers/posts/3358577121074797/,1,Ingeed bh ym mdh hvn bnu,Untraagaad asaagaad bai tgheer zugeer bolchij bnlee
10,2023-06-01T15:53:24.000Z,https://www.facebook.com/groups/univisionusers/posts/3358577121074797/,0,Ingeed bh ym mdh hvn bnu,?????? ??? ?? ?????? ??????????
11,2023-06-01T15:41:03.000Z,https://www.facebook.com/groups/univisionusers/posts/3357347577864418/,0,Univisionii har tuhuurumj hudaldaj awna.,hymd ireed avaa
12,2023-06-01T14:02:31.000Z,https://www.facebook.com/groups/univisionusers/posts/3359138971018612/,0,,10k
13,2023-06-01T13:13:13.000Z,https://www.facebook.com/groups/univisionusers/posts/3359138971018612/,0,,bn
14,2023-06-01T05:53:33.000Z,https://www.facebook.com/groups/univisionusers/posts/3356178094648033/,0,"??? ?????? ???? ????? ???
??????? ? ???????, ?????,??????, ????????",Ene kino tvreeselj vzj bolj bnu pin kod biruu gd baihi
